Provider/Currency,Supported National Currencies,Supported Crypto Currencies,Disclaimer
Religa,"AED, AFN, ALL, AMD, ANG, AOA, ARS, AUD, AWG, AZN, BAM, BBD, BDT, BGN, BHD, BIF, BMD, BND, BOB, BRL, BSD, BTC, BTN, BWP, BYN, BZD, CAD, CDF, CHF, CLF, CLP, CNH, CNY, COP, CRC, CUC, CUP, CVE, CZK, DJF, DKK, DOP, DZD, EGP, ERN, ETB, EUR, FJD, FKP, GBP, GEL, GGP, GHS, GIP, GMD, GNF, GTQ, GYD, HKD, HNL, HRK, HTG, HUF, IDR, ILS, IMP, INR, IQD, IRR, IRRT, ISK, JEP, JMD, JOD, JPY, KES, KGS, KHR, KMF, KPW, KQD, KRW, KWD, KYD, KZT, LAK, LBP, LKR, LRD, LSL, LYD, MAD, MDL, MGA, MKD, MMK, MNT, MOP, MRU, MUR, MVR, MWK, MXN, MYR, MZN, NAD, NGN, NIO, NOK, NPR, NZD, OMR, PAB, PEN, PGK, PHP, PKR, PLN, PYG, QAR, RON, RSD, RUB, RWF, SAR, SBD, SCR, SDG, SEK, SGD, SHP, SLE, SLL, SOS, SRD, SSP, STN, SVC, SYP, SZL, THB, TJS, TMT, TND, TOP, TRY, TTD, TWD, TZS, UAH, UGX, USD, UYU, UZS, VES, VND, VUV, WST, XAF, XAG, XAU, XCD, XDR, XOF, XPD, XPF, XPT, YER, ZAR, ZMW, ZWL ","BTC, DOGE, ETC, ETH",
RevolverGaming,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BZD CAD CDF CHF CLP CNY COP CRC CUP CVE CZK DIA DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRO MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SRD STD SVC SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VND VUV WST XAF XCD XDR XOF XPF YER ZAR ZMW,-,
RTG SLOTS (RealtimeGaming),CNY IDR INR JPY KHR KRW MMK MYR SGD THB TWD VND HKD PHP,-,
ReelPlay via Relax,AED ALL AMD ARS AUD AZN BAM BDT BGN BND BOB BRL BYN CAD CDF CHF CLP CNY COP CRC CZK DKK DOP EGP EUR GBP GEL GHS HKD HRK HUF HTG IDR ILS INR IQD ISK IRR JPY KES KGS KHR KRW KWD KZT LAK LKR MAD MDL MKD MMK MXN MNT MVR MYR NGN NOK NPR NZD PEN PHP PKR PLN PYG RMB RON RSD RUB RWF SAR SEK SGD SLL SZL THB TJS TMT TND TRY TTD TWD TZS UAH UGX USD UYU UZS VND XAF XOF ZAR ZMW,-,
Relax Gaming,AED ALL AMD ARS AUD AZN BAM BDT BGN BND BOB BRL BYN CAD CDF CHF CLP CNY COP CRC CZK DKK DOP EGP EUR GBP GEL GHS HKD HRK HUF HTG IDR ILS INR IQD ISK IRR JPY KES KGS KHR KRW KWD KZT LAK LKR MAD MDL MKD MMK MXN MNT MVR MYR NGN NOK NPR NZD PEN PHP PKR PLN PYG RMB RON RSD RUB RWF SAR SEK SGD SLL SZL THB TJS TMT TND TRY TTD TWD TZS UAH UGX USD UYU UZS VND XAF XOF ZAR ZMW,-,
Rival Powered,"AED, ALL, AMD, AOA, ARS, ARSB, AUD, AZN, BAM, BDT, BDT, BGN, BHD, BNB, BOB, BRL, BYN, CAD, CDF, CHF, CLP, CNY, COP, CRC, DKK, DZD, EGP,
ETB, EUR, GBP, GEL, GHS, HKD, HRK, HUF, IDR, INR, IQD, IRR, JOD, JPY, KES, KHR, kIDR, kIQD, KRW, kVND, KWD, KZT, LBP, LKR, LSL, LYD, MAD,
MDL, MMK, MNT, MVR, MWK, MXN, MYR, MZN, NGN, NOK, NPR, NZD, PEN, PHP, PKR, PLN, PYG, QAR, RON. RSD, RUB, RWF, SAR, SEK, SGD, SLL,
THB, TMT, TND, TRY, TWD, TZS,, UAH, UGX, USD, UYU, UZS, VEF, VND, XAF, XOF, XRP, ZAR, ZEC, ZMW","ATOM, BCH, BSV, BTC, DASH, DOGE, DOT, EOS, ETC, ETH, FTN, IRT, LINK, LTC, mBCH, mBSV, mBTC, mETH, mLTC, TOMO, TRX, uBTC, UNI, USDC, USDT",
RubyPlay via Relax,"ALL, AED, AFN, AMD, ANG, AOA, ARS, AUD, AWG, AZN, BAM, BBD, BDT, BGN, BHD, BIF, BMD, BND, BOB, BRL, BSD, BTN, BWP, BYN, BZD, CAD, CDF,
 CHF, CLF, CLP, CNY, COP, CRC, CUC, CUP, CVE, CZK, DJF, DKK, DOP, DZD, EGP, ERN, ETB, EUR, FJD, FKP, GBP, GEL, GHS, GIP, GMD, GNF, GTQ,
 GYD, HKD, HNL, HRK, HTG, HUF, IDR, ILS, INR, IQD, IRR, ISK, JMD, JOD, JPY, KES, KGS, KHR, KMF, KPW, KRW, KWD, KYD, KZT, LAK, LBP, LKR,
 LRD, LSL, LYD, MAD, MDL, MGA, MKD, MMK, MNT, MOP, MRU, MUR, MVR, MWK, MXN, MYR, MZN, NAD, NGN, NIO, NOK, NPR, NZD, OMR, PAB,
 PEN, PGK, PHP, PKR, PLN, PYG, QAR, RON, RSD, RUB, RWF, SAR, SBD, SCR, SDG, SEK, SGD, SHP, SLL, SOS, SRD, SSP, STD, SVC, SYP, SZL, THB,
 TJS, TMT, TND, TOP, TRY, TTD, TWD, TZS, UAH, UGX, USD, UYU, UZS, VES, VND, VUV, WST, XAF, XCD, XOF, XPF, YER, ZAR, ZMW, ZWL",-,
Quickspin,"ALL, AMD, ARS, AUD, AZN, BAM, BGN, BOB, BRL, BYR, CAD, CHF, CLP, CNY, COP, CZK, DKK, DOP, EUR, GBP, GEL, GHS, HKD, HUF, IDR, INR, ILS, IQD, ISK, JPY, KES, KGS, KRW, KZT, MAD, MDL, MKD, MMK, MXN, MYR, NGN, NOK, NZD, PEN, PHP, PYG, RMB, RON, RSD, RUB, SEK, SGD, THB, TND, TRY, TWD, TJS, TMT, UAH, USD, UYU, UZS, VEF, VND, XAF, XOF, ZAR",-,
SA Gaming,"AED, ARS, AUD, BDT, BND, BRL, CAD, CHF, CLP, DKK, EUR, GBP, HUF, INR, JPY, KZT, LKR, MYR, NOK, NZD, PEN, PLN, RUB, SEK, SGD, THB, TND, TRY, TWD, UAH, USD, ZAR, IDR, KHR, MMK, VND",-,Currencies are allowed to used accordingly to the countries only (e.g. AUD for Australia) 
Skywind,AMD AOA ARS AUD AZN BDT BMD BND BRL BYN CAD CDF CHF CLP CNY COP CRC CZK DKK DOP EGP ETB EUR GBP GEL GHS GMD GNF HKD HNL HRK HUF IDR IDS ILS INR ISK JPY KES KGS KRW KZT LRD MAD MDL MMK MNT MOP MWK MXN MYR MZN NGN NIO NOK NZD PEN PHP PKR PLN PYG RON RSD RUB RUP RWF SEK SGD SLE SLL THB TND TRY TWD TZS UAH UGX USD UYU VDO VEF VES VND VNS XAF XOF ZAR ZMW,"BTC, ETH, LTC, DOG, TET (USDT), USDC",
Spearhead via SlotMatrix,"EUR, AFN, ALL, DZD, AOA, ARS, AMD, AWG, AUD, AZN, BSD, BHD, BDT, BBD, BZD, BMD, BTN, BOB, BAM, BWP, BRL, GBP, BND, BGN, MMK, BIF, KHR, CAD, CVE, KYD, XAF, XPF, CLP, CNY, COP, KMF, CDF, CRC, HRK, CUP, CZK, DKK, DJF, DOP, XCD, EGP, ERN, ETB, FJD, GMD, GEL, GHS, GTQ, GNF, GYD, HTG, HNL, HKD, HUF, ISK, INR, IDR, IRR, IQD, ILS, JMD, JPY, JOD, KZT, KES, KWD, KGS, LAK, LBP, LSL, LRD, LYD, MOP, MKD, MGA, MWK, MYR, MVR, MRO, MUR, MXN, MDL, MNT, MAD, MZN, NAD, NPR, BYN, TWD, NZD, NIO, NGN, KPW, NOK, OMR, PKR, PAB, PGK, PYG, PEN, PHP, PLN, QAR, RON, RUB, RWF, SHP, WST, STN, SAR, RSD, SCR, SLL, SGD, SBD, SOS, ZAR, KRW, LKR, SDG, SRD, SZL, SEK, CHF, SYP, TJS, TZS, THB, TOP, TTD, TND, TRY, TMT, UGX, UAH, AED, UYU, USD, UZS, VUV, VEF, VND, XOF, YER, ZMW, kVND, kIDR, TRX",TRX,
Slotmill,"AED, AMD, AOA, ARS, AUD, AZN, BAM, BDT, BGN, BIF, BND, BOB, BRL, BYN, CAD, CDF, CHF, CLP, CNY, COP, CRC, CUP, CZK, DKK, DOP, DZD, EGP, ETB, EUR, GBP, GEL, GGP, GHS, GIP, GTQ, HKD, HRK, HTG, HUF, IDR, ILS, IMP, INR, IQD, IRR, ISK, JEP, JOD, JPY, KES, KGS, KHR, KRW, KWD, KZT, LKR, MAD, MDL, MKD, MMK, MNT, MVR, MXN, MYR, MZN, NAD, NGN, NIO, NOK, NPR, NZD, OMR, PAB, PEN, PHP, PKR, PLN, PYG, RON, RSD, RUB, SEK, SGD, SOS, SSP, SVC, THB, TJS, TMT, TND, TRY, TWD, TZS, UAH, UGX, USD, UYU, UZS, VND, XAF, XOF, ZAR, ZMW, aARS (Argentinian Blue Dollar)","USDT, DOGE, mETH, mLTC, uBTC",
SmartSoft,AED ALL AMD AOA ARS ARS1 AUD AZN BDT BGN BHD BIF BOB BRL BYN CDF CFA CHF CLP CNY COP CRC CZK DKK DZD EGP ETB EUR GBP GEL GHS GMD GNF GTQ HKD HNL HTG HUF IDR ILS INR IQD JOD JPY KES KGS KHR KRW KWD KZT LAK LBP LKR LRD LSL MAD MDL MGA MKD MMK MNT MOP MVR MWK MXN MYR MZN NAD NGN NOK NPR NZD OMR PAB PEN PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SEK SGD SLE SLL SOS SZL THB TJS TMT TND TRY TZS UAH UGX USD UYU UZS VEF VES VND XAF XOF XPF ZAR ZMW,"uBTC, mBCH, mLTC, mETH, DOGE, TRX, USDT, XRP, mCBET, USDX, uXBT, WFAIR, BNB, ADA, DMO, FTN, SOL","There is no crypto in roulettes
CAD currency is blocked"
SimplePlay,AED AMD ARS AUD AZN BDT BND BRL BYN CAD CHF CLP CZK DKK EGP EUR GBP GEL GHS HTG HUF ILS INR JPY KES KGS KRW KZT LKR MDL MXN MYR NAD NOK NPR NZD PEN PHP PKR PLN RUB SEK SGD SZL THB TMT TND TRY TWD UAH USD VES XAF XOF ZAR ZMW CDF COP IDR IRR KHR LAK MMK MNT NGN VND TZS UGX UZS,"USDT, uBTC, mBTC, USDT, ",
Spadegaming,"BDT, ARS, CNY, MXN, USD, NZD, EUR, PEN, GBP, PLN, HKD, PYG, SGD, RSD, KRW, UYU, JPY, ZAR, THB, UAH, IDR, TND, RUB, INR, TRY, VND, SEK, NOK, MYR, AED, MMK, AMD, MMV, CAD, AUD, CHF, ALL, CLP, BRL, CZK, BGN, DKK, KZT, PKR, HUF, IR2, CO2, XAF, XOF, AZN, LAK, NPR, MZN	",USDT,
Spinmatic,EUR USD AED ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYR BZD CDF CHF CLF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB FJD FKP GBP GEL GGP GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS IMP INR IQD IRR ISK JEP JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LTL LVL LYD MAD MDL MGA MKD MMK MNT MOP MRO MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SRD STD SVC SYP SZL THB TJS TMT TND TOP TTD TWD TZS UAH UGX UYU UZS VEF VND VUV WST XAF XAG XAU XCD XDR XOF XPF YER ZAR ZMK ZMW ZWL,"uBTC, BCH, BTT, TRX, USDT, XRP, DOGE",
Spinola,EUR GBP AUD USD BRL DKK JPY NOK SEK CNY MYR THB TRY CUP EGP PLN ZAR NGN RON DOP ARS IRR VEF AED AFN ALL AMD ANG AOA AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BSD BTN BWP BYR BZD CAD CDF CHF CLP CRC COP HKD HRK SYP SGD RUB RSD PHP PAB OMR NZD MXN KES JOD JMD ISK IQD HUF ZAR ZWL PEN CZK KZT GEL TJS UZS TND INR LKR UAH MDL XOF XAF DAG HTG PGK GHS LSL NAD MZN ZMW NGN CDF VES,-,
Spinthon,"AED,ALL,AMD,AOA,ARS,AUD,AZN,BAM,BDT,BEN,BGN,BHD,BIF,BMD,BOB,BRL,BWP,BYN,BZD,CAD,CDF,CHF,CLP,CNY,COP,CRC,CUP,CZK,DKK,DOP,DZD,EGP,ETB,EUR,GBP,GEL,GHS,GNF,GTQ,HKD,HRK,HTG,HUF,IDR,ILS,INR,IQD,IRR,ISK,JOD,JPY,KES,KGS,KRW,KWD,KYD,KZT,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MUR,MXN,MYR,MZN,NAD,NGN,NOK,NPR,NZD,OMR,PAB,PEN,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SEK,SGD,SLL,SOS,THB,TJS,TMT,TND,TRY,TWD,TZS,UAH,UGX,USD,UYU,UZS,VES,VND,XAF,XOF,ZAR,ZMW","uBTC, mETH, uETH, USDT",
Spinomenal,USD KRW THB HKD JPY MYR CAD CNY RUB UAH GEL PLN EUR VEF CLP ARS BRL COP MXN PEN UYU GHS CZK ZAR AUD TRY BGN RON GBP DKK HUF CHF AMD IRR KZT AED NZD INR IDR SGD KES NGN XAF XOF AZN TMT KGS MDL TJS MNT UZS NOK PYG BCH TRX BTT USDT TND TZS MZN BSD        ,"uBTC, mETH, uETH, mLTC, BCH, mBCH, TRX, USDT, BNB, DOGE, XRP",SEK is available only for operators with a local license
Spribe,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BYR BZD CAD CDF CHF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS INR IQD ISK JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LEK LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRU MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RUB RSD RWF SAR SBD SCR SDG SEK SGD SLE SOS SRD SSP SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VES VND VUV WST XAF XCD XOF XPF YER ZAR ZMW ZWL,"uBTC, mLTC, uLTC, XMR, mXMR, EOS, mEOS, BCH, mBCH, XRP, mXRP, TRX, mTRX, mETH, uETH, DOGE, mDOGE, DASH, mDASH, DAI, GUSD, LINK, PAX, PAXG, TUSD, USDC, USDT, XAUT, ADA, AMS, BNB, SOC",
Stakelogic Live,"BGN, BRL, CAD, CHF, CZK, DKK, EUR, GBP, HRK, HUF, NOK, PLN, RON, SEK, USD, NZD, CLP, PEN, RUB, AUD, INR, ZAR, MXN, RSD",,
Stakelogic,EUR USD HUF GBP TWI AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYR BZD CAD CDF CHF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB FJD FKP GEL GGP GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG IDR ILS IMP INR IQD IRR ISK JEP JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRO MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SPL SRD STD SVC SYP SZL THB TJS TMT TND TOP TRY TTD TVD TWD TZS UAH UGX UYU UZS VEF VND VUV WST XAF XAG XAU XCD XDR XOF XPD XPF XPT YER ZAR ZMW ZWD STR BYN DEC,-,
SummusGames,AED ALL AMD ARS AUD AZN BAM BDT BGN BOB BRL BYN CAD CDF CHF CLP CNY COP CZK EGP ETB EUR GBP GEL INR JPY KHR KGS KRW KZT MAD MDL MXN NOK NZD PEN PHP PKR PLN RSD SEK THB TND TJS TMT TRY UAH USD UZS UYU VES XOF ZAR,uBTC,
SynotGames,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BZD CAD CDF CHF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRO MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SRD STD SVC SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VES VND VUV WST XAF XAG XAU XCD XOF XPD XPF XPT YER ZAR ZMW ZWL,-,
Swintt,"AED,ALL,AMD,AOA,ARS,AUD,AZN,BAM,BDT,BGN,BHD,BIF,BMD,BOB,BRL,BSD,BYN,CAD,CDF,CHF,CLP,CNY,COP,CRC,CZK,DKK,DOP,DZD,
EGP,EUR,GBP,GEL,GHS,GIP,GNF,GTQ,HKD,HRK,HTG,HUF,IDR,ILS,INR,IQD,IRR,ISK,JPY,KES,KGS,KRW,KYD,KZT,LAK,LBP,MAD,MDL,MGA,
MKD,MMK,MNT,MUR,MVR,MXN,MYR,MZN,NAD,NGN,NOK,NPR,NZD,PAB,PEN,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SEK,SGD,THB,TJS,
TMT,TND,TRY,TWD,TZS,UAH,USD,UYU,UZS,VEF,VND,XAF,XCD,XOF,ZAR,ZMW",-,
TaDa Gaming,AED AMD AOA ARS AUD AZN BGN BIF BOB BRL BYN CAD CDF CHF CLP COP CRC CUP CZK DKK DOG DZD EGP EUR GBP GEL GHS GTQ HNL HRK HUF IQD IRR ISK JOD KES KGS KZT mLTC MDL MKD MXN MZN NGN NIO NOK NZD PAB PEN PLN PYG RON RUB SAR SEK TND TRY TZS UAH UGX USD USDT UYU UZS VES XAF XOF ZAR ZMW,"USDT, mLTC, mETH, DOGE, uBTC, mBCH",
TGLab,https://tracker.egamings.com/issues/637739,,
Tom Horn + 7Mojos,PTS USD EUR GBP CAD AUD SKK CZK ALL DZD ARS BSD BHD BDT AMD BBD BMD BTN BOB BWP BZD SBD BND MMK BIF KHR CVE KYD CHF LKR CLP CNY COP KMF CRC HRK CUP DKK DOP ETB ERN FKP FJD DJF GMD AFN AZN BGN BOV CDF COU CUC GHS GNF MGA MZN NIO RON RSD SRD TJS TMT UGX XAG XDR XPD XPT ZWL GTQ GYD HTG HNL HKD HUF ISK INR IDR IRR IQD ILS JMD JPY KZT JOD KES KPW KRW KWD KGS LAK LBP LSL LRD LYD LTL MOP MWK MYR MVR MRO MUR MXN MNT MDL MAD OMR NAD NPR ANG AWG VUV NZD NGN NOK PKR PAB PGK PYG PEN PHP QAR RUB RWF SHP STD SAR SCR SLL SGD VND SOS ZAR XBT XDA XDC XLC PRB BCH MEH BTT XUB SZL SEK SYP THB TOP TTD AED TND MKD EGP TZS UYU UZS WST YER TWD GIP VEF SDG TRY XAF XCD XPF ZMW AOA BYR BAM UAH GEL PLN BRL MXN ZWD SVC BYN LAP,-,
TopSpin,USD INR EUR IDR JPY UAH NPR BDT KZT PLN AZN TJS KGS BRL NGN TZS PKR THB MYR VND MXN CAD AED AUD NZD NOK ZAR CLP HUF MNT CNY XOF KRW SGD RUB ARS UZS TWD TRY GBP IRR LKR MDL PEN PHP SAR,DOGE USDC uLTC uBTC uETH USDT XRP ZC ZG GC FC,
Thunderkick,AMD ARS AZN BGN BOB BRL CAD CHF CLP CNY COP CZK DKK EUR GBP GEL HKD HRK HUF IDR ILS INR ISK JPY KES KGS KRW KZT LKR LTL LVL MDL MMK MNT MXN MYR NGN NOK NZD PEN PHP PLN PYG RON RSD RUB SEK SGD THB TRY TWD TZS UAH USD UYU VEF VND XAF XOF ZAR TND UZS,-,"GBP, SEK currencies are available only for operators with a local license"
TVBet,AED ALL AMD AOA ARS AUD AZN BAM BDT BGN BHD BIF BOB BRL BWP BYN CAD CDF CHF CLP CNY COP CRC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR GBP GEL GHS GMD GNF GTQ HKD HNL HRK HTG HUF IDR ILS INR IQD IRR IRT ISK JOD JPY KES KGS KHR KMF KRW KWD KZT LAK LBP LBPM LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MRU MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PHP PKR PLN PRB PYG QAR RON RSD RUB RWF SAR SCR SDG SEK SGD SLE SLL SOS SSP SYP SYPM SZL THB TJS TMT TMTM TND TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VES VND XAF XOF ZAR ZMW ZWL,"DOGE, BTS, uBTC, mBCH, mBTG mDASH, mETH, mETC, mLTC, mXMR, mZEC, TRX, USDT, XVG, XEM, XRP.",
TurboGames,"USD, UAH, EUR, RUB, CNY, JPY, INR, KZT, BRL, GBP, TRY, IRR, PEN, ARS, AR1, CLP, COP, BOB, THB, AFN, NAD, SAR, BWP, AED, AUD, AZN, BBD, BDT, BIF, BYN, CDF, CHF, CUP, DZD, ETB, GEL, GHS, HTG, IDR, IQD, KES, KRW, LRD, MAD, MNT, MXN, MYR, MZN, NGN, PHP, RWF, SDG, TJS, TND, TZS, UGX, UZS, VND, ZAR, HUF, HKD, PYG, NPR, CAD, LKR, PKR, BGN, CZK, MKD, MDL, RON, MVR, CRC, XOF, XAF, ZMW, AOA, NOK, ISK, EGP, DOP, SEK, UYU, DKK, HRK, LBP, AMD, JOD, KGS, KWD, OMR, PAB, QAR, SGD, SOS, TMT.	","uBTC, mETH, uETH, LTC",
Upgaming,MXN CLP ZAR TND RSD XOF UYU MAD AZN KES SEK UAH GNF MZN ARS THB UZS BDT LYD PHP RUB PYG COP USD DZD KGS CHF ALL VES ZMW TZS VND AUD ILS GHS BOB TRY LBP AED NKD EUR LSL CAD NOK LKR NGN CZK PKR KZT SZL MVR INR NPR JPY AOA PLN GBP BYN HOF MWK NAD PEN NZD BRL ZWL  IDR,USDT,Other currencies can be added by request
UrgentGames,"ADA, AED, AFN, ALL, AMD, ANG, AOA, ARS, ARS_PA, AUD, AWG, AZN, BAM, BBD, BCH, BDT, BGN, BIF, BMD, BNB, BND, BOB, BOV, BRL, BSD, BSV, BTN, BWP, BYN, BZD, CAD, CDF, CFA, CHE, CHF, CHW, CLF, CLP, CNY, COP, COU, CRC, CRO, CUP, CVE, CZK, DAI, DJF, DKK, DOP, DZD, EGP, EOS, ERN, EUR, FKP, FTN, fun, GBP, GEL, GHS, GIP, GMD, GNF, GTQ, GYD, HKD, HNL, HRK, HTG, HUF, IDR, ILS, INR, IQD, IRR, ISK, JMD, JOD, JPY, KES, KGS, KHR, KMF, KPW, KRW, KWD, KYD, KZT, LAK, LBP, LEO, LKR, LRD, LSL, LYD, MAD, MDL, MGA, MKD, MKR, MMK, MNT, MOP, MRU, MUR, MVR, MWK, MXN, MXV, MYR, MZN, NAD, NGN, NIO, NOK, NPR, NZD, OMR, PAB, PEN, PGK, PHP, PKR, PLN, PYG, QAR, RON, RSD, RUB, RWF, SAR, SBD, SCR, SDG, SEK, SGD, SHP, SLE, SLL, SRD, SSP, STN, SVC, SYP, SZL, THB, TJS, TMT, TND, TOP, TRX, TRY, TTD, TWD, TZS, UAH, UGX, USD, USN, UYI, UYU, UYW, VED, VES, VND, VUV, XAF, XAG, XOF,  YER, ZAR, ZMW, ZMW, ZWL","AVAX, BUSD, CAKE, Dash, DOGE, ETB, ETC, ETH, LINK, LTC, MATIC, mBTC, SHIB, Sol, SOS, TUSD, USDC, USDT, WBTC, WST, XAU, XBA, XBB, XBC, XBD, XCD, XDR, XLM, XMR, XPD, XPF, XPT, XRP, XSU, XTS, XTZ, XUA, XXX,",
Victory Ark Gaming,AUD AOA BDT BND BRL CAD CHF CNY ETB EUR GBP GHS HKD HUF IDR INR IRR JPY KES KHR kIDR (1:1000) kMMK (1:1000) KRW kVND (1:1000) KZT LAK LKR LSL MMK MWK MXN MYR MZN NAD NGN NOK NPR NZD PEN PHP PLN RUB SEK SGD SLE SLL SZL THB TND TRY TZS UAH USD VND XAF XOF ZAR ZMW,DOG USDT,
VivoGaming,BHD JOD KWD OMR AUD AZN CAD CHF EUR GBP GEL MBT mBTС USD NZD BAM BGN BND BYN SGD TND BRL MYR PEN PLN TMT TRY AED ILS QAR RON SAR GHS BOB DKK HRK SDG NOK TJS CNY HKD MAD PRB SEK ZMW ARS EGP ETB MDL MXN XMR ZAR CZK UAH TWD UYU MKD PHP RUB RUB THB KGS ZEC HTG INR MZN BDT DZD ISK JPY KES ALL RSD AOA COP HUF NGN ZWL AMD CLP KZT XAF XOF DTC KRW VEF IQD CDF MMK TZS MNT UGX UZS KHR PYG IDR VND BYN OMR MDL XOF  BYR MGA MUR RWF BCH DOG TTD BSD PKR,"mETH, uETH, mLTC, BCH, DOGE, USDT, uBTC",
Wazdan,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYR BZD CAD CDF CHF CLF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GGP GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS IMP INR IQD IRR ISK JEP JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LTL LVL LYD MAD MDL MGA MKD MMK MNT MOP MRO MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SRD STD SVC SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VND VUV WST XAF XAG XAU XCD XDR XOF XPF YER ZAR ZMK ZMW ZWL,"uBTC, XRP, USDT, TRX, mBNB",
WMCasino,AMD AUD BND BRL CLP CNY EUR GBP GEL HKD IDR INR JPY KRW LAK MMK MYR NTD NZD PHP SEK SGD THB TRY USD VND ZAR	,-,
